model,n_valid,absolute_error_mean_fd_r,absolute_error_mean_fd_p
dummy_median,458,0.07228937866399514,0.12238150113521452
ridge,458,0.029032864564350305,0.5354137086483567
mlp,458,0.020275597559552935,0.6651778973315529
