model,n,mae,rmse,r2,pearson_r,pearson_p
dummy_median,458,5.126139514831476,7.557416813544685,-0.09599990491956745,-0.231003522090338,5.794651412553253e-07
ridge,458,4.060031600394103,5.772363322489123,0.36060228110885584,0.6005221503025348,3.191733932589992e-46
mlp,458,5.910178316212117,7.983038272263073,-0.22292602770131986,0.4032635539532149,2.4437112741433034e-19
