model,sex_code,n,age_mean,age_std,mae,rmse,r2,pearson_r,pearson_p,mean_bag,std_bag
dummy_median,1,370,17.23171348829527,7.557686880856582,5.444663237236641,8.023743772460902,-0.13019054922667794,-0.2455398814341947,1.749013523857699e-06,-2.569929668065664,7.611340220453571
dummy_median,2,88,14.635607995770194,5.154282985448292,3.786892045627941,5.154093327628775,-0.011419816035094232,-0.1449967502327983,0.1776980120636043,0.02939207987351851,5.183545633300482
ridge,1,370,17.23171348829527,7.557686880856582,4.211247137430552,6.063379466969157,0.3546028168976081,0.5966798207969674,4.704948496757673e-37,-0.258875205065753,6.066053540402548
ridge,2,88,14.635607995770194,5.154282985448292,3.4242390014908533,4.340285084780922,0.2827617958589811,0.5970097098793784,8.295350442508639e-10,1.1756044897166165,4.201984377527662
mlp,1,370,17.23171348829527,7.557686880856582,6.122184323297964,8.319288958142478,-0.21498239863869317,0.4197774300252243,3.164581311478499e-17,-4.168177602419982,7.209531437662881
mlp,2,88,14.635607995770194,5.154282985448292,5.018789422782985,6.378163904079451,-0.5488817138750257,0.29144763348648556,0.005869029862432089,-2.1932728737592697,6.023523372436355
