model,age_band,n,mae
dummy_median,<12,116,4.724931971780185
dummy_median,12-17,205,1.4293516949909488
dummy_median,18-29,109,8.247203551301169
dummy_median,30+,28,21.70419658933367
mlp,<12,116,3.829488150004683
mlp,12-17,205,4.301855244287631
mlp,18-29,109,7.835758410462546
mlp,30+,28,18.809394700186594
ridge,<12,116,3.757394622112143
ridge,12-17,205,2.9045837541905843
ridge,18-29,109,3.8071754263081683
ridge,30+,28,14.757675204958234
