model,n,mean_bag,std_bag,bag_age_r,bag_age_p,calibration_intercept,calibration_slope
dummy_median,458,-2.070496668461629,7.276207042264494,-0.9996331143354451,0.0,14.770744770911374,-0.006474848363754203
ridge,458,0.016745347643523235,5.77865105204012,-0.8028861099961161,1.6724121341895348e-104,10.759331224027347,0.35799611151643546
mlp,458,-3.7887199252974,7.03438283494014,-0.7228141258352959,3.361248329609282e-75,7.984114907546907,0.2964258486612114
